Date,Temperature (mean)(Centigrade),IGNORE THIS COLUMN,Precipitation (cm/day),Solar Radiation (Langleys/day),Daylight Relative Humidity (%)
1/1/2025,9.617888619,0.089738825,0.089738825,230.7023486,70.61079556
1/2/2025,10.78052081,0.115107116,0.115107116,256.8872775,64.9491896
1/3/2025,16.81770579,0.207759689,0.207759689,175.096496,82.21268323
1/4/2025,13.73061435,0.311795438,0.311795438,164.4008886,86.96652875
1/5/2025,13.69389725,0.311974257,0.311974257,173.3538436,85.44796443
1/6/2025,10.0314813,0.530308997,0.530308997,145.9446323,90.12960551
1/7/2025,12.89544315,0.102333158,0.102333158,208.5501848,76.51336119
1/8/2025,11.18893956,0.016504207,0.016504207,324.7312201,54.88451882
1/9/2025,12.99068268,0.054558485,0.054558485,229.2368517,71.63241439
1/10/2025,13.77410211,0,0,311.8581546,59.62310385
1/11/2025,11.30026744,0.13151566,0.13151566,190.2022496,79.19008128
1/12/2025,13.1254308,0.006813685,0.006813685,234.8801319,71.50476183
1/13/2025,15.8819379,0.066896055,0.066896055,270.4777902,65.86602137
1/14/2025,13.82074915,0.026960144,0.026960144,280.1396728,65.61839601
1/15/2025,16.7308789,0.17720106,0.17720106,201.9889971,81.24187498
1/16/2025,18.31197835,0.00165458,0.00165458,281.0691796,66.47867682
1/17/2025,11.24650502,1.592786263,1.592786263,156.9849345,94.13492081
1/18/2025,17.03716412,0.066947737,0.066947737,288.702246,68.5727659
1/19/2025,13.61948345,0,0,357.2620683,56.62433023
1/20/2025,16.09090284,0.024494474,0.024494474,239.9169136,71.67022108
1/21/2025,18.41614116,0.090895118,0.090895118,287.8995933,70.28771278
1/22/2025,12.61590116,1.876456436,1.876456436,156.1561881,94.4556648
1/23/2025,14.77942353,0.016407083,0.016407083,346.7007742,59.31860576
1/24/2025,11.49049894,0.495574337,0.495574337,160.9498468,93.07793523
1/25/2025,13.84674261,0.81272407,0.81272407,181.1641904,89.93887773
1/26/2025,14.93436206,0.10562143,0.10562143,243.2577627,76.9441492
1/27/2025,14.7626231,0.264789512,0.264789512,218.4766279,82.43186928
1/28/2025,12.62887815,0,0,330.3921388,61.53448806
1/29/2025,18.69272795,0.078223227,0.078223227,281.6810535,70.23618778
1/30/2025,17.36785849,0.807830038,0.807830038,209.8439521,86.32679917
1/31/2025,18.82474713,0.147494267,0.147494267,225.6702785,80.04790697
2/1/2025,15.22438102,2.311431534,2.311431534,181.5258691,91.02048275
2/2/2025,21.17440781,0.08368629,0.08368629,258.7395418,75.18530463
2/3/2025,18.18021427,0.337431152,0.337431152,208.4324589,84.39462549
2/4/2025,13.99728316,0,0,382.8365537,57.18559977
2/5/2025,15.90690518,0.006887457,0.006887457,394.379565,57.59100124
2/6/2025,15.59394601,0,0,397.6997835,55.08041983
2/7/2025,16.37619152,0.063799329,0.063799329,293.2645561,71.17125544
2/8/2025,19.2815809,0.031793308,0.031793308,356.1710112,64.23375581
2/9/2025,18.6885935,0.358187769,0.358187769,235.0795687,83.72389021
2/10/2025,16.17566495,0.054537167,0.054537167,457.3771624,54.05250367
2/11/2025,17.52073801,0,0,494.6910429,48.56357648
2/12/2025,17.54297546,0.11312275,0.11312275,338.3767138,66.69637463
2/13/2025,19.47765359,0.261267442,0.261267442,231.3698491,83.69248158
2/14/2025,17.61592564,0.107916485,0.107916485,325.363789,68.09544069
2/15/2025,20.85249297,0.051737631,0.051737631,405.4088431,59.6952202
2/16/2025,20.27781222,0.319745734,0.319745734,221.2442365,82.5332266
2/17/2025,15.961444,0.856058841,0.856058841,186.93698,89.35249056
2/18/2025,19.32038718,0.678363797,0.678363797,208.6148012,85.12712602
2/19/2025,20.95748188,0.031171719,0.031171719,284.0597924,74.70334146
2/20/2025,18.25600252,1.044230194,1.044230194,208.1020926,89.1586843
2/21/2025,17.81370153,0.171517839,0.171517839,273.0457406,74.79208054
2/22/2025,18.24973585,0.05640772,0.05640772,431.2239425,57.83478144
2/23/2025,20.01015515,0.076481248,0.076481248,357.8965506,67.99491621
2/24/2025,19.90516026,0.01104195,0.01104195,437.4360003,58.40657616
2/25/2025,16.06592758,0,0,589.0388797,36.56651285
2/26/2025,19.56127107,0.037862919,0.037862919,483.3970787,53.08215483
2/27/2025,22.09367951,0.148732466,0.148732466,299.9796412,75.78911575
2/28/2025,23.0366839,0.055464046,0.055464046,363.3081178,67.99742654
3/1/2025,21.8825686,0.038966057,0.038966057,372.3440529,67.317546
3/2/2025,20.34797533,0.869189105,0.869189105,233.3443019,85.68715894
3/3/2025,18.7528187,0.036135982,0.036135982,488.419615,50.21001928
3/4/2025,21.30308181,1.297944735,1.297944735,239.8695116,87.87553298
3/5/2025,23.52898055,0.119003759,0.119003759,348.4047471,72.059431
3/6/2025,21.40171932,0.022155801,0.022155801,354.4891949,68.1833642
3/7/2025,21.86465149,0.090803324,0.090803324,317.4201801,74.15467752
3/8/2025,19.30358631,0.026153214,0.026153214,454.5056678,56.8050563
3/9/2025,20.39759777,0.066186213,0.066186213,469.2810043,54.09172906
3/10/2025,18.36449321,0.065087878,0.065087878,480.4348094,52.29632201
3/11/2025,20.54897662,0.324431951,0.324431951,272.0667941,82.93137272
3/12/2025,20.10100491,0.100670631,0.100670631,393.4873178,64.92493115
3/13/2025,19.93184759,1.906795513,1.906795513,227.733081,90.24696555
3/14/2025,21.12327805,0.080553274,0.080553274,330.7746924,74.41628967
3/15/2025,21.44499301,0.41454709,0.41454709,287.5366974,80.05144571
3/16/2025,21.5515203,0.311974625,0.311974625,313.2923483,81.3646367
3/17/2025,21.7623059,0.655250028,0.655250028,278.8054926,83.24552479
3/18/2025,19.31864938,0,0,575.3406361,48.46745224
3/19/2025,23.98224243,0,0,519.1871572,58.58417402
3/20/2025,22.32278029,0.079911629,0.079911629,402.1945819,70.36653318
3/21/2025,21.14911822,0,0,572.6206231,51.9395348
3/22/2025,21.71573394,0.308399769,0.308399769,344.7256944,75.70563168
3/23/2025,21.21430238,0,0,540.5325837,55.95138049
3/24/2025,20.09360262,0,0,557.6032008,52.80865023
3/25/2025,22.78874409,0,0,551.2615136,55.80727254
3/26/2025,22.00113609,0.485982376,0.485982376,330.3956886,79.28399275
3/27/2025,24.37525649,0,0,471.26654,63.64991648
3/28/2025,22.95301274,0,0,494.4496256,63.52092677
3/29/2025,22.24359984,0,0,423.9173145,68.04323227
3/30/2025,22.90907023,0.430675449,0.430675449,354.2565277,78.11892136
3/31/2025,23.71979412,0.795276658,0.795276658,346.8678291,79.24368669
4/1/2025,24.98114057,0.087327712,0.087327712,474.0813108,66.87964706
4/2/2025,23.16510547,0.668665596,0.668665596,450.1251744,64.22835751
4/3/2025,24.03905899,0,0,556.4817072,59.46196054
4/4/2025,24.50651525,0.045419357,0.045419357,492.3578803,65.93392758
4/5/2025,24.59594952,0,0,557.8819699,59.32750783
4/6/2025,24.50130937,0,0,556.3925645,59.63321387
4/7/2025,25.30776971,0.019492519,0.019492519,497.1850367,65.18802527
4/8/2025,23.17363434,1.123553075,1.123553075,376.5735071,73.01015324
4/9/2025,23.70728387,0.614756342,0.614756342,388.0765481,74.10385303
4/10/2025,24.52846876,0,0,595.6639462,56.97935313
4/11/2025,24.36734785,0.278046282,0.278046282,479.3358965,65.34634087
4/12/2025,24.94565817,0,0,503.4957158,63.86467574
4/13/2025,24.72915372,0.260798366,0.260798366,499.8061057,65.66672113
4/14/2025,23.33252276,0,0,574.1989867,58.28027064
4/15/2025,22.86688816,0,0,592.020438,57.15633731
4/16/2025,24.9722865,0,0,585.7045494,57.79503342
4/17/2025,24.98283268,0,0,581.9272535,58.94303154
4/18/2025,24.87676569,0.367196674,0.367196674,435.4572462,71.81660165
4/19/2025,25.59212849,0,0,568.4580258,59.93049412
4/20/2025,24.76294933,0,0,548.9847797,60.10783908
4/21/2025,24.78614907,0,0,544.3275089,61.72861633
4/22/2025,24.88289837,0.149209773,0.149209773,457.6644511,71.01279021
4/23/2025,26.10905523,0,0,567.2971427,61.51336943
4/24/2025,25.28397902,0.341823088,0.341823088,423.2965476,73.39061916
